field,weight_or_range,meaning,notes
economic_conversion,14,"职业、咨询、产品、投资、创业、内容或商业洞察转化可能性","positive score 0-10 before weighting"
future_trend_certainty,13,"AI、机器人、新能源、新材料、半导体、智能制造等长期趋势受益程度","positive score 0-10 before weighting"
learning_roi,13,"是否显著提升多个行业理解，是否是认知杠杆","positive score 0-10 before weighting"
personal_fit,12,"是否适合个人学习者、小团队、研究者、产品经理、工程师、投资者、内容创作者","positive score 0-10 before weighting"
landing_feasibility,11,"是否可验证、可分析、可访谈、可做小产品、内容、咨询、职业迁移","positive score 0-10 before weighting"
upside_ceiling,10,"高价值岗位、高毛利、高技术壁垒、高估值或长期复利机会","positive score 0-10 before weighting"
operability,8,"资料、企业、案例、数据、标准、产品样本、招聘信息是否容易获得","positive score 0-10 before weighting"
cross_industry_foundation,8,"是否支撑多个行业、训练工程和供应链思维","positive score 0-10 before weighting"
social_policy_capital_attention,7,"政策、资本、产业园区、媒体、招聘市场、科技趋势关注度","positive score 0-10 before weighting"
data_availability_feedback_speed,4,"是否容易用财报、招股书、标准、专利、企业网站验证","positive score 0-10 before weighting"
heavy_asset_dependency,0-8,"需要矿山、工厂、牌照、生产线、巨大资本开支","risk deduction"
strong_regulation_safety_environment,0-7,"危化、药品、能源、矿产、安全环保等强约束","risk deduction"
overcapacity_price_war,0-7,"供给过剩、同质化、利润承压","risk deduction"
low_transparency,0-5,"信息不透明、供应链封闭、外行难判断","risk deduction"
cyclicality,0-5,"受大宗、地产、基建、出口、库存周期影响","risk deduction"
hype_risk,0-5,"媒体叙事大于收入、利润、订单和应用场景","risk deduction"
insufficient_personal_entry,0-8,"个人难以形成可转化优势","risk deduction"
geopolitical_export_control,0-5,"出口管制、技术封锁、供应链安全风险","risk deduction"
foundation_adjustment,0-8,"对多个工业行业有底层支撑作用","positive adjustment"
